generation,trial,p,propertyType,property
4,49,1.0,b,0.0
4,49,1.0,a,1.0
4,49,1.0,s,1.0
4,49,1.0,c,1.0
4,49,1.0,e,1.0
3,49,1.0,b,0.0
3,49,1.0,a,1.0
3,49,1.0,s,1.0
3,49,1.0,c,1.0
3,49,1.0,e,1.0
2,49,1.0,b,0.0
2,49,1.0,a,1.0
2,49,1.0,s,1.0
2,49,1.0,c,1.0
2,49,1.0,e,1.0
1,49,1.0,b,0.0
1,49,1.0,a,1.0
1,49,1.0,s,1.0
1,49,1.0,c,-0.04651162790697675
1,49,1.0,e,-0.0028596785326890843
20,48,1.0,b,0.0
20,48,1.0,a,1.0
20,48,1.0,s,1.0
20,48,1.0,c,1.0
20,48,1.0,e,1.0
19,48,1.0,b,0.0
19,48,1.0,a,1.0
19,48,1.0,s,0.994140625
19,48,1.0,c,1.0
19,48,1.0,e,1.0
18,48,1.0,b,0.0
18,48,1.0,a,0.994140625
18,48,1.0,s,0.9814453125
18,48,1.0,c,0.991596616532026
18,48,1.0,e,0.9940834237254709
17,48,1.0,b,0.0
17,48,1.0,a,0.9873046875
17,48,1.0,s,0.7216796875
17,48,1.0,c,0.9952574104102129
17,48,1.0,e,0.9871807514051869
16,48,1.0,b,0.0
16,48,1.0,a,0.728515625
16,48,1.0,s,0.728515625
16,48,1.0,c,0.8432054120561066
16,48,1.0,e,0.7416428360122276
15,48,1.0,b,0.0
15,48,1.0,a,1.0
15,48,1.0,s,1.0
15,48,1.0,c,1.0
15,48,1.0,e,1.0
14,48,1.0,b,0.0
14,48,1.0,a,1.0
14,48,1.0,s,1.0
14,48,1.0,c,1.0
14,48,1.0,e,1.0
13,48,1.0,b,0.0
13,48,1.0,a,1.0
13,48,1.0,s,0.9765625
13,48,1.0,c,1.0
13,48,1.0,e,1.0
12,48,1.0,b,0.0
12,48,1.0,a,0.9765625
12,48,1.0,s,0.505859375
12,48,1.0,c,0.9820157114900459
12,48,1.0,e,0.9763336949018835
11,48,1.0,b,0.0
11,48,1.0,a,0.505859375
11,48,1.0,s,0.5
11,48,1.0,c,0.7907556896575103
11,48,1.0,e,0.601617197515038
10,48,1.0,b,0.0
10,48,1.0,a,0.990234375
10,48,1.0,s,0.9833984375
10,48,1.0,c,0.9939679113269196
10,48,1.0,e,0.9901390395424514
9,48,1.0,b,0.0
9,48,1.0,a,0.9931640625
9,48,1.0,s,0.9931640625
9,48,1.0,c,0.9880478001631264
9,48,1.0,e,0.993097327679716
8,48,1.0,b,0.0
8,48,1.0,a,1.0
8,48,1.0,s,1.0
8,48,1.0,c,1.0
8,48,1.0,e,1.0
7,48,1.0,b,0.0
7,48,1.0,a,1.0
7,48,1.0,s,1.0
7,48,1.0,c,1.0
7,48,1.0,e,1.0
6,48,1.0,b,0.0
6,48,1.0,a,1.0
6,48,1.0,s,0.990234375
6,48,1.0,c,1.0
6,48,1.0,e,1.0
5,48,1.0,b,0.0
5,48,1.0,a,0.990234375
5,48,1.0,s,0.990234375
5,48,1.0,c,0.9923355334484603
5,48,1.0,e,0.9901390395424514
4,48,1.0,b,0.0
4,48,1.0,a,1.0
4,48,1.0,s,0.9921875
4,48,1.0,c,1.0
4,48,1.0,e,1.0
3,48,1.0,b,0.0
3,48,1.0,a,0.9921875
3,48,1.0,s,0.9921875
3,48,1.0,c,0.9933409719197726
3,48,1.0,e,0.9921112316339612
2,48,1.0,b,0.0
2,48,1.0,a,1.0
2,48,1.0,s,1.0
2,48,1.0,c,1.0
2,48,1.0,e,1.0
1,48,1.0,b,0.0
1,48,1.0,a,1.0
1,48,1.0,s,1.0
1,48,1.0,c,-0.04651162790697675
1,48,1.0,e,-0.003845774578443941
20,47,1.0,b,0.0
20,47,1.0,a,0.994140625
20,47,1.0,s,0.9833984375
20,47,1.0,c,0.991596616532026
20,47,1.0,e,0.9940834237254709
19,47,1.0,b,0.0
19,47,1.0,a,0.9892578125
19,47,1.0,s,0.98828125
19,47,1.0,c,0.9899642386535668
19,47,1.0,e,0.9891529434966966
18,47,1.0,b,0.0
18,47,1.0,a,0.9990234375
18,47,1.0,s,0.984375
18,47,1.0,c,0.9976287052051064
18,47,1.0,e,0.9990139039542452
17,47,1.0,b,0.0
17,47,1.0,a,0.9853515625
17,47,1.0,s,0.9833984375
17,47,1.0,c,0.9878774462123405
17,47,1.0,e,0.9852085593136771
16,47,1.0,b,0.0
16,47,1.0,a,0.998046875
16,47,1.0,s,0.998046875
16,47,1.0,c,1.0
16,47,1.0,e,0.9980278079084903
15,47,1.0,b,0.0
15,47,1.0,a,1.0
15,47,1.0,s,0.99609375
15,47,1.0,c,1.0
15,47,1.0,e,1.0
14,47,1.0,b,0.0
14,47,1.0,a,0.99609375
14,47,1.0,s,0.99609375
14,47,1.0,c,0.9933409719197726
14,47,1.0,e,0.9960556158169805
13,47,1.0,b,0.0
13,47,1.0,a,1.0
13,47,1.0,s,1.0
13,47,1.0,c,1.0
13,47,1.0,e,1.0
12,47,1.0,b,0.0
12,47,1.0,a,1.0
12,47,1.0,s,1.0
12,47,1.0,c,1.0
12,47,1.0,e,1.0
11,47,1.0,b,0.0
11,47,1.0,a,1.0
11,47,1.0,s,1.0
11,47,1.0,c,1.0
11,47,1.0,e,1.0
10,47,1.0,b,0.0
10,47,1.0,a,1.0
10,47,1.0,s,1.0
10,47,1.0,c,1.0
10,47,1.0,e,1.0
9,47,1.0,b,0.0
9,47,1.0,a,1.0
9,47,1.0,s,0.9990234375
9,47,1.0,c,1.0
9,47,1.0,e,1.0
