generation,trial,p,propertyType,property
20,50,0.75,b,0.0010263427984946974
20,50,0.75,a,0.9951126533405015
20,50,0.75,s,0.9951126533405015
20,50,0.75,c,0.9915715414276863
20,50,0.75,e,0.9950530559746716
19,50,0.75,b,0.0010263427984946974
19,50,0.75,a,1.0
19,50,0.75,s,1.0
19,50,0.75,c,1.0
19,50,0.75,e,1.0
18,50,0.75,b,0.0010263427984946974
18,50,0.75,a,1.0
18,50,0.75,s,0.9980450613362005
18,50,0.75,c,1.0
18,50,0.75,e,1.0
17,50,0.75,b,0.0010263427984946974
17,50,0.75,a,0.9980450613362005
17,50,0.75,s,0.9980450613362005
17,50,0.75,c,1.0
17,50,0.75,e,0.9980212223898687
16,50,0.75,b,0.0010263427984946974
16,50,0.75,a,1.0
16,50,0.75,s,0.9990225306681003
16,50,0.75,c,1.0
16,50,0.75,e,1.0
15,50,0.75,b,0.0010263427984946974
15,50,0.75,a,0.9990225306681003
15,50,0.75,s,0.9990225306681003
15,50,0.75,c,0.9976693559730189
15,50,0.75,e,0.9990106111949343
14,50,0.75,b,0.0010263427984946974
14,50,0.75,a,1.0
14,50,0.75,s,0.9960901226724012
14,50,0.75,c,1.0
14,50,0.75,e,1.0
13,50,0.75,b,0.0010263427984946974
13,50,0.75,a,0.9960901226724012
13,50,0.75,s,0.9960901226724012
13,50,0.75,c,0.9940713185613153
13,50,0.75,e,0.9960424447797374
12,50,0.75,b,0.0010263427984946974
12,50,0.75,a,1.0
12,50,0.75,s,1.0
12,50,0.75,c,1.0
12,50,0.75,e,1.0
11,50,0.75,b,0.0010263427984946974
11,50,0.75,a,1.0
11,50,0.75,s,0.9970675920043008
11,50,0.75,c,1.0
11,50,0.75,e,1.0
10,50,0.75,b,0.0010263427984946974
10,50,0.75,a,0.9970675920043008
10,50,0.75,s,0.9970675920043008
10,50,0.75,c,0.9953387119460377
10,50,0.75,e,0.997031833584803
9,50,0.75,b,0.0010263427984946974
9,50,0.75,a,1.0
9,50,0.75,s,1.0
9,50,0.75,c,1.0
9,50,0.75,e,1.0
8,50,0.75,b,0.0010263427984946974
8,50,0.75,a,1.0
8,50,0.75,s,0.9902253066810028
8,50,0.75,c,1.0
8,50,0.75,e,1.0
7,50,0.75,b,0.0010263427984946974
7,50,0.75,a,0.9902253066810028
7,50,0.75,s,0.9892478373491032
7,50,0.75,c,0.9924669243036295
7,50,0.75,e,0.9901061119493433
6,50,0.75,b,0.0010263427984946974
6,50,0.75,a,0.9990225306681003
6,50,0.75,s,0.9951126533405015
6,50,0.75,c,0.9976693559730189
6,50,0.75,e,0.9990106111949343
5,50,0.75,b,0.0010263427984946974
5,50,0.75,a,0.9960901226724012
5,50,0.75,s,0.9960901226724012
5,50,0.75,c,0.9957857707138432
5,50,0.75,e,0.9960424447797374
4,50,0.75,b,0.0010263427984946974
4,50,0.75,a,1.0
4,50,0.75,s,0.9921802453448023
4,50,0.75,c,1.0
4,50,0.75,e,1.0
3,50,0.75,b,0.0010263427984946974
3,50,0.75,a,0.9921802453448023
3,50,0.75,s,0.905185474805728
3,50,0.75,c,0.9915715414276863
3,50,0.75,e,0.9920848895594746
2,50,0.75,b,0.0020038121303944086
2,50,0.75,a,0.9012755974781291
2,50,0.75,s,0.6852548751282929
2,50,0.75,c,0.9485985157722093
2,50,0.75,e,0.9020505082984986
1,50,0.75,b,0.2414837984458238
1,50,0.75,a,0.7595425443526709
1,50,0.75,s,1.0
1,50,0.75,c,-0.0285714285714286
1,50,0.75,e,-0.0032402483365900733
20,49,0.75,b,-0.000928595865304726
20,49,0.75,a,0.9980450613362005
20,49,0.75,s,0.9980450613362005
20,49,0.75,c,0.9976693559730189
20,49,0.75,e,0.9980212223898687
19,49,0.75,b,-0.000928595865304726
19,49,0.75,a,1.0
19,49,0.75,s,0.9980450613362005
19,49,0.75,c,1.0
19,49,0.75,e,1.0
18,49,0.75,b,-0.000928595865304726
18,49,0.75,a,0.9980450613362005
18,49,0.75,s,0.9980450613362005
18,49,0.75,c,0.9953387119460377
18,49,0.75,e,0.9980212223898687
17,49,0.75,b,-0.000928595865304726
17,49,0.75,a,1.0
17,49,0.75,s,1.0
17,49,0.75,c,1.0
17,49,0.75,e,1.0
16,49,0.75,b,-0.000928595865304726
16,49,0.75,a,1.0
16,49,0.75,s,0.9980450613362005
16,49,0.75,c,1.0
16,49,0.75,e,1.0
15,49,0.75,b,-0.000928595865304726
15,49,0.75,a,0.9980450613362005
15,49,0.75,s,0.9980450613362005
15,49,0.75,c,0.9957857707138432
15,49,0.75,e,0.9980212223898687
14,49,0.75,b,-0.000928595865304726
14,49,0.75,a,1.0
14,49,0.75,s,1.0
14,49,0.75,c,1.0
14,49,0.75,e,1.0
13,49,0.75,b,-0.000928595865304726
13,49,0.75,a,1.0
13,49,0.75,s,1.0
13,49,0.75,c,1.0
13,49,0.75,e,1.0
12,49,0.75,b,-0.000928595865304726
12,49,0.75,a,1.0
12,49,0.75,s,0.9941351840086017
12,49,0.75,c,1.0
12,49,0.75,e,1.0
11,49,0.75,b,-0.000928595865304726
11,49,0.75,a,0.9941351840086017
11,49,0.75,s,0.9941351840086017
11,49,0.75,c,0.9894100305073529
11,49,0.75,e,0.9940636671696059
10,49,0.75,b,-0.000928595865304726
10,49,0.75,a,1.0
10,49,0.75,s,1.0
10,49,0.75,c,1.0
10,49,0.75,e,1.0
9,49,0.75,b,-0.000928595865304726
9,49,0.75,a,1.0
