generation,trial,p,propertyType,property
5,49,0.55,s,0.8837890625
5,49,0.55,c,0.9958333891238562
5,49,0.55,e,0.9911367161533348
4,49,0.55,b,0.009765625
4,49,0.55,a,0.4072265625
4,49,0.55,s,0.6171875
4,49,0.55,c,0.9269673335031308
4,49,0.55,e,0.903488687002979
3,49,0.55,b,0.021484375
3,49,0.55,a,0.2568359375
3,49,0.55,s,0.3212890625
3,49,0.55,c,0.7850522690244343
3,49,0.55,e,0.7035723957948642
2,49,0.55,b,0.0439453125
2,49,0.55,a,0.203125
2,49,0.55,s,0.1376953125
2,49,0.55,c,0.6791424910183756
2,49,0.55,e,0.6523623113474654
1,49,0.55,b,0.4462890625
1,49,0.55,a,0.5537109375
1,49,0.55,s,1.0
1,49,0.55,c,-0.016949152542372926
1,49,0.55,e,-0.003520693305758672
20,48,0.55,b,0.0
20,48,0.55,a,0.7529296875
20,48,0.55,s,0.75
20,48,0.55,c,0.7798656168472416
20,48,0.55,e,0.7823571410985548
19,48,0.55,b,0.0
19,48,0.55,a,0.9970703125
19,48,0.55,s,0.9970703125
19,48,0.55,c,0.9958333891238562
19,48,0.55,e,0.9970455720511116
18,48,0.55,b,0.0
18,48,0.55,a,1.0
18,48,0.55,s,0.9970703125
18,48,0.55,c,1.0
18,48,0.55,e,1.0
17,48,0.55,b,0.0
17,48,0.55,a,0.9970703125
17,48,0.55,s,0.9931640625
17,48,0.55,c,1.0
17,48,0.55,e,0.9970455720511116
16,48,0.55,b,0.0
16,48,0.55,a,0.99609375
16,48,0.55,s,0.99609375
16,48,0.55,c,0.9941383093120348
16,48,0.55,e,0.9960607627348155
15,48,0.55,b,0.0
15,48,0.55,a,1.0
15,48,0.55,s,1.0
15,48,0.55,c,1.0
15,48,0.55,e,1.0
14,48,0.55,b,0.0
14,48,0.55,a,1.0
14,48,0.55,s,1.0
14,48,0.55,c,1.0
14,48,0.55,e,1.0
13,48,0.55,b,0.0
13,48,0.55,a,1.0
13,48,0.55,s,1.0
13,48,0.55,c,1.0
13,48,0.55,e,1.0
