generation,trial,p,propertyType,property
1,1,0.75,e,0.0003282168500564108
1,1,0.75,c,-0.016042780748663103
1,1,0.75,s,1.0
1,1,0.75,a,0.7502527236938477
1,1,0.75,b,0.24974727630615234
2,1,0.75,e,0.9056877955439155
2,1,0.75,c,0.9599226840671379
2,1,0.75,s,0.33821582794189453
2,1,0.75,a,0.4511394500732422
2,1,0.75,b,0.0
3,1,0.75,e,0.9146288012420299
3,1,0.75,c,0.9644946941126924
3,1,0.75,s,0.8224716186523438
3,1,0.75,a,0.44941043853759766
3,1,0.75,b,0.0
4,1,0.75,e,0.97546446094514
4,1,0.75,c,0.9862069984907408
4,1,0.75,s,0.8891134262084961
4,1,0.75,a,0.48970603942871094
4,1,0.75,b,0.0
5,1,0.75,e,0.7478251013178444
5,1,0.75,c,0.8805732845492057
5,1,0.75,s,0.6964998245239258
5,1,0.75,a,0.3412446975708008
5,1,0.75,b,0.0
6,1,0.75,e,0.754533001890675
6,1,0.75,c,0.9190736713187448
6,1,0.75,s,0.5275335311889648
6,1,0.75,a,0.36180877685546875
6,1,0.75,b,0.0
7,1,0.75,e,0.8004237414751081
7,1,0.75,c,0.9138981306768643
7,1,0.75,s,0.5733575820922852
7,1,0.75,a,0.3977184295654297
7,1,0.75,b,1.9073486328125e-6
8,1,0.75,e,0.9324020668098598
8,1,0.75,c,0.9692659646003823
8,1,0.75,s,0.7316417694091797
8,1,0.75,a,0.46402454376220703
8,1,0.75,b,0.0
9,1,0.75,e,0.9589579888870825
9,1,0.75,c,0.9743436872248403
9,1,0.75,s,0.8914651870727539
9,1,0.75,a,0.4782438278198242
9,1,0.75,b,0.0
10,1,0.75,e,0.809184458036666
10,1,0.75,c,0.9287214453402863
10,1,0.75,s,0.768031120300293
10,1,0.75,a,0.39580726623535156
10,1,0.75,b,0.0
11,1,0.75,e,0.7491615303142232
11,1,0.75,c,0.8829809091462201
11,1,0.75,s,0.5706844329833984
11,1,0.75,a,0.34250545501708984
11,1,0.75,b,9.5367431640625e-7
12,1,0.75,e,0.7657910568623113
12,1,0.75,c,0.9126053700234616
12,1,0.75,s,0.5326957702636719
12,1,0.75,a,0.3731269836425781
12,1,0.75,b,0.0
13,1,0.75,e,0.7576742300741692
13,1,0.75,c,0.9293830271675272
13,1,0.75,s,0.5512943267822266
13,1,0.75,a,0.36510276794433594
13,1,0.75,b,0.0
14,1,0.75,e,0.45510994859064813
14,1,0.75,c,0.7403204023131557
14,1,0.75,s,0.2435007095336914
14,1,0.75,a,0.16864871978759766
14,1,0.75,b,0.0
15,1,0.75,e,0.9131759951310486
15,1,0.75,c,0.9602826546524527
15,1,0.75,s,0.3038673400878906
15,1,0.75,a,0.4550666809082031
15,1,0.75,b,0.0
16,1,0.75,e,0.6869942111686115
16,1,0.75,c,0.8671429693861769
16,1,0.75,s,0.5883407592773438
16,1,0.75,a,0.32429981231689453
16,1,0.75,b,0.0
17,1,0.75,e,0.9467278988352821
17,1,0.75,c,0.9746172977660855
17,1,0.75,s,0.6144266128540039
17,1,0.75,a,0.47408390045166016
17,1,0.75,b,0.0
