generation,trial,p,propertyType,property
20,50,1.0,b,0.0
20,50,1.0,a,0.9892578125
20,50,1.0,s,0.984375
20,50,1.0,c,0.9976759959844917
20,50,1.0,e,0.989106484117749
19,50,1.0,b,0.0
19,50,1.0,a,0.9873046875
19,50,1.0,s,0.9873046875
19,50,1.0,c,0.9856837635217965
19,50,1.0,e,0.9871258448664306
18,50,1.0,b,0.0
18,50,1.0,a,1.0
18,50,1.0,s,0.9970703125
18,50,1.0,c,1.0
18,50,1.0,e,1.0
17,50,1.0,b,0.0
17,50,1.0,a,0.9970703125
17,50,1.0,s,0.9951171875
17,50,1.0,c,0.9940882093916249
17,50,1.0,e,0.9970290411230225
16,50,1.0,b,0.0
16,50,1.0,a,0.998046875
16,50,1.0,s,0.9970703125
16,50,1.0,c,0.9976759959844917
16,50,1.0,e,0.9980193607486816
15,50,1.0,b,0.0
15,50,1.0,a,0.9990234375
15,50,1.0,s,0.998046875
15,50,1.0,c,0.9976759959844917
15,50,1.0,e,0.9990096803743408
14,50,1.0,b,0.0
14,50,1.0,a,0.9990234375
14,50,1.0,s,0.9990234375
14,50,1.0,c,1.0
14,50,1.0,e,0.9990096803743408
13,50,1.0,b,0.0
13,50,1.0,a,1.0
13,50,1.0,s,0.9970703125
13,50,1.0,c,1.0
13,50,1.0,e,1.0
12,50,1.0,b,0.0
12,50,1.0,a,0.9970703125
12,50,1.0,s,0.9736328125
12,50,1.0,c,0.9940882093916249
12,50,1.0,e,0.9970290411230225
11,50,1.0,b,0.0
11,50,1.0,a,0.974609375
11,50,1.0,s,0.974609375
11,50,1.0,c,0.9667789996155545
11,50,1.0,e,0.9742516897328612
10,50,1.0,b,0.0
10,50,1.0,a,1.0
10,50,1.0,s,1.0
10,50,1.0,c,1.0
10,50,1.0,e,1.0
9,50,1.0,b,0.0
9,50,1.0,a,1.0
9,50,1.0,s,0.919921875
9,50,1.0,c,1.0
9,50,1.0,e,1.0
8,50,1.0,b,0.0
8,50,1.0,a,0.919921875
8,50,1.0,s,0.919921875
8,50,1.0,c,0.9442609598174536
8,50,1.0,e,0.9197841103216063
7,50,1.0,b,0.0
7,50,1.0,a,1.0
7,50,1.0,s,1.0
7,50,1.0,c,1.0
7,50,1.0,e,1.0
6,50,1.0,b,0.0
6,50,1.0,a,1.0
6,50,1.0,s,0.9990234375
6,50,1.0,c,1.0
6,50,1.0,e,1.0
5,50,1.0,b,0.0
5,50,1.0,a,0.9990234375
5,50,1.0,s,0.9912109375
5,50,1.0,c,0.9976759959844917
5,50,1.0,e,0.9990096803743408
4,50,1.0,b,0.0
4,50,1.0,a,0.9921875
4,50,1.0,s,0.9921875
4,50,1.0,c,0.990164382042242
4,50,1.0,e,0.9920774429947266
3,50,1.0,b,0.0
3,50,1.0,a,1.0
3,50,1.0,s,1.0
3,50,1.0,c,1.0
3,50,1.0,e,1.0
2,50,1.0,b,0.0
2,50,1.0,a,1.0
2,50,1.0,s,1.0
2,50,1.0,c,1.0
2,50,1.0,e,1.0
1,50,1.0,b,0.0
1,50,1.0,a,1.0
1,50,1.0,s,1.0
1,50,1.0,c,-0.025641025641025682
1,50,1.0,e,-0.008145378921046767
20,49,1.0,b,0.0
20,49,1.0,a,0.998046875
20,49,1.0,s,0.998046875
20,49,1.0,c,1.0
20,49,1.0,e,0.9980193607486816
19,49,1.0,b,0.0
19,49,1.0,a,1.0
19,49,1.0,s,0.9990234375
19,49,1.0,c,1.0
19,49,1.0,e,1.0
18,49,1.0,b,0.0
18,49,1.0,a,0.9990234375
18,49,1.0,s,0.9990234375
18,49,1.0,c,1.0
18,49,1.0,e,0.9990096803743408
17,49,1.0,b,0.0
17,49,1.0,a,1.0
17,49,1.0,s,0.9990234375
17,49,1.0,c,1.0
17,49,1.0,e,1.0
16,49,1.0,b,0.0
16,49,1.0,a,0.9990234375
16,49,1.0,s,0.998046875
16,49,1.0,c,0.9976759959844917
16,49,1.0,e,0.9990096803743408
15,49,1.0,b,0.0
15,49,1.0,a,0.9990234375
15,49,1.0,s,0.9990234375
15,49,1.0,c,1.0
15,49,1.0,e,0.9990096803743408
14,49,1.0,b,0.0
14,49,1.0,a,1.0
14,49,1.0,s,0.9990234375
14,49,1.0,c,1.0
14,49,1.0,e,1.0
13,49,1.0,b,0.0
13,49,1.0,a,0.9990234375
13,49,1.0,s,0.9970703125
13,49,1.0,c,0.9976759959844917
13,49,1.0,e,0.9990096803743408
12,49,1.0,b,0.0
12,49,1.0,a,0.998046875
12,49,1.0,s,0.998046875
12,49,1.0,c,0.9976759959844917
12,49,1.0,e,0.9980193607486816
11,49,1.0,b,0.0
11,49,1.0,a,1.0
11,49,1.0,s,0.9833984375
11,49,1.0,c,1.0
11,49,1.0,e,1.0
10,49,1.0,b,0.0
10,49,1.0,a,0.9833984375
10,49,1.0,s,0.9833984375
10,49,1.0,c,0.9823743725144609
10,49,1.0,e,0.9831645663637939
9,49,1.0,b,0.0
9,49,1.0,a,1.0
9,49,1.0,s,1.0
9,49,1.0,c,1.0
9,49,1.0,e,1.0
8,49,1.0,b,0.0
8,49,1.0,a,1.0
8,49,1.0,s,0.9990234375
8,49,1.0,c,1.0
8,49,1.0,e,1.0
7,49,1.0,b,0.0
7,49,1.0,a,0.9990234375
7,49,1.0,s,0.9990234375
7,49,1.0,c,0.9976759959844917
7,49,1.0,e,0.9990096803743408
6,49,1.0,b,0.0
6,49,1.0,a,1.0
6,49,1.0,s,0.9951171875
6,49,1.0,c,1.0
6,49,1.0,e,1.0
5,49,1.0,b,0.0
5,49,1.0,a,0.9951171875
5,49,1.0,s,0.9951171875
5,49,1.0,c,0.9934737730495776
5,49,1.0,e,0.9950484018717041
4,49,1.0,b,0.0
4,49,1.0,a,1.0
4,49,1.0,s,1.0
4,49,1.0,c,1.0
4,49,1.0,e,1.0
3,49,1.0,b,0.0
3,49,1.0,a,1.0
3,49,1.0,s,1.0
3,49,1.0,c,1.0
3,49,1.0,e,1.0
2,49,1.0,b,0.0
2,49,1.0,a,1.0
2,49,1.0,s,1.0
2,49,1.0,c,1.0
2,49,1.0,e,1.0
1,49,1.0,b,0.0
1,49,1.0,a,1.0
1,49,1.0,s,1.0
1,49,1.0,c,0.08831908831908826
1,49,1.0,e,0.0017578173355450493
20,48,1.0,b,0.0
20,48,1.0,a,1.0
20,48,1.0,s,0.998046875
20,48,1.0,c,1.0
20,48,1.0,e,1.0
19,48,1.0,b,0.0
19,48,1.0,a,0.998046875
19,48,1.0,s,0.99609375
19,48,1.0,c,0.9976759959844917
19,48,1.0,e,0.9980193607486816
18,48,1.0,b,0.0
18,48,1.0,a,0.998046875
18,48,1.0,s,0.98828125
18,48,1.0,c,1.0
18,48,1.0,e,0.9980193607486816
17,48,1.0,b,0.0
17,48,1.0,a,0.990234375
17,48,1.0,s,0.9892578125
17,48,1.0,c,0.9852379784256943
17,48,1.0,e,0.9900968037434081
16,48,1.0,b,0.0
16,48,1.0,a,0.9990234375
16,48,1.0,s,0.9990234375
16,48,1.0,c,1.0
16,48,1.0,e,0.9990096803743408
15,48,1.0,b,0.0
15,48,1.0,a,1.0
15,48,1.0,s,0.9921875
15,48,1.0,c,1.0
15,48,1.0,e,1.0
14,48,1.0,b,0.0
14,48,1.0,a,0.9921875
14,48,1.0,s,0.9912109375
14,48,1.0,c,0.9886463268550247
14,48,1.0,e,0.9920774429947266
13,48,1.0,b,0.0
13,48,1.0,a,0.9990234375
13,48,1.0,s,0.9814453125
13,48,1.0,c,1.0
13,48,1.0,e,0.9990096803743408
12,48,1.0,b,0.0
12,48,1.0,a,0.982421875
12,48,1.0,s,0.826171875
12,48,1.0,c,0.9760445161613931
12,48,1.0,e,0.9821742467381347
11,48,1.0,b,0.0
11,48,1.0,a,0.8115234375
11,48,1.0,s,0.7646484375
11,48,1.0,c,0.8049720490699894
11,48,1.0,e,0.8167908692530514
10,48,1.0,b,0.0029296875
10,48,1.0,a,0.9453125
10,48,1.0,s,0.9404296875
10,48,1.0,c,0.9577537161473523
10,48,1.0,e,0.9445421009630859
9,48,1.0,b,0.0
9,48,1.0,a,0.9951171875
9,48,1.0,s,0.8017578125
9,48,1.0,c,0.9976759959844917
9,48,1.0,e,0.9950484018717041
8,48,1.0,b,0.0009765625
8,48,1.0,a,0.8017578125
8,48,1.0,s,0.7880859375
8,48,1.0,c,0.8828363038699875
8,48,1.0,e,0.808868312247778
7,48,1.0,b,0.0
7,48,1.0,a,0.984375
7,48,1.0,s,0.7685546875
7,48,1.0,c,0.9953519919689835
7,48,1.0,e,0.9851452056151123
6,48,1.0,b,0.0
6,48,1.0,a,0.775390625
6,48,1.0,s,0.7724609375
6,48,1.0,c,0.85146257610065
6,48,1.0,e,0.7801490431036617
5,48,1.0,b,0.0
5,48,1.0,a,0.994140625
5,48,1.0,s,0.994140625
5,48,1.0,c,0.9895175667289102
5,48,1.0,e,0.9940580822460449
4,48,1.0,b,0.0
4,48,1.0,a,1.0
4,48,1.0,s,1.0
4,48,1.0,c,1.0
4,48,1.0,e,1.0
3,48,1.0,b,0.0
3,48,1.0,a,1.0
3,48,1.0,s,1.0
3,48,1.0,c,1.0
3,48,1.0,e,1.0
2,48,1.0,b,0.0
2,48,1.0,a,1.0
2,48,1.0,s,1.0
2,48,1.0,c,1.0
2,48,1.0,e,1.0
1,48,1.0,b,0.0
1,48,1.0,a,1.0
1,48,1.0,s,1.0
1,48,1.0,c,-0.025641025641025682
1,48,1.0,e,-0.0031937807927508582
20,47,1.0,b,0.00390625
20,47,1.0,a,0.9931640625
20,47,1.0,s,0.9931640625
20,47,1.0,c,0.9915955541301715
20,47,1.0,e,0.9930677626203858
19,47,1.0,b,0.00390625
19,47,1.0,a,1.0
19,47,1.0,s,1.0
19,47,1.0,c,1.0
19,47,1.0,e,1.0
18,47,1.0,b,0.00390625
18,47,1.0,a,1.0
18,47,1.0,s,0.998046875
18,47,1.0,c,1.0
18,47,1.0,e,1.0
17,47,1.0,b,0.00390625
17,47,1.0,a,0.998046875
17,47,1.0,s,0.998046875
17,47,1.0,c,0.9976759959844917
17,47,1.0,e,0.9980193607486816
16,47,1.0,b,0.00390625
16,47,1.0,a,1.0
16,47,1.0,s,1.0
16,47,1.0,c,1.0
16,47,1.0,e,1.0
15,47,1.0,b,0.00390625
15,47,1.0,a,1.0
15,47,1.0,s,0.9990234375
15,47,1.0,c,1.0
15,47,1.0,e,1.0
14,47,1.0,b,0.00390625
14,47,1.0,a,0.9990234375
14,47,1.0,s,0.98046875
14,47,1.0,c,1.0
14,47,1.0,e,0.9990096803743408
13,47,1.0,b,0.00390625
13,47,1.0,a,0.9814453125
13,47,1.0,s,0.88671875
13,47,1.0,c,1.0
13,47,1.0,e,0.9811839271124756
12,47,1.0,b,0.00390625
12,47,1.0,a,0.869140625
12,47,1.0,s,0.869140625
12,47,1.0,c,0.9257194951909878
12,47,1.0,e,0.8712584486643064
11,47,1.0,b,0.00390625
11,47,1.0,a,1.0
11,47,1.0,s,0.998046875
11,47,1.0,c,1.0
11,47,1.0,e,1.0
10,47,1.0,b,0.00390625
10,47,1.0,a,0.998046875
10,47,1.0,s,0.998046875
10,47,1.0,c,0.9957977770650858
10,47,1.0,e,0.9980193607486816
9,47,1.0,b,0.00390625
9,47,1.0,a,1.0
9,47,1.0,s,1.0
9,47,1.0,c,1.0
9,47,1.0,e,1.0
8,47,1.0,b,0.00390625
8,47,1.0,a,1.0
8,47,1.0,s,1.0
8,47,1.0,c,1.0
8,47,1.0,e,1.0
7,47,1.0,b,0.00390625
7,47,1.0,a,1.0
7,47,1.0,s,1.0
7,47,1.0,c,1.0
7,47,1.0,e,1.0
6,47,1.0,b,0.00390625
6,47,1.0,a,1.0
6,47,1.0,s,1.0
6,47,1.0,c,1.0
6,47,1.0,e,1.0
5,47,1.0,b,0.00390625
5,47,1.0,a,1.0
5,47,1.0,s,1.0
5,47,1.0,c,1.0
5,47,1.0,e,1.0
4,47,1.0,b,0.00390625
4,47,1.0,a,1.0
4,47,1.0,s,0.9970703125
4,47,1.0,c,1.0
4,47,1.0,e,1.0
3,47,1.0,b,0.00390625
3,47,1.0,a,0.9970703125
3,47,1.0,s,0.9970703125
3,47,1.0,c,0.9953519919689835
3,47,1.0,e,0.9970290411230225
2,47,1.0,b,0.00390625
2,47,1.0,a,1.0
2,47,1.0,s,1.0
2,47,1.0,c,1.0
2,47,1.0,e,1.0
1,47,1.0,b,0.00390625
1,47,1.0,a,1.0
1,47,1.0,s,1.0
1,47,1.0,c,-0.025641025641025682
1,47,1.0,e,-0.013096977049342673
20,46,1.0,b,0.0
20,46,1.0,a,1.0
20,46,1.0,s,1.0
20,46,1.0,c,1.0
20,46,1.0,e,1.0
19,46,1.0,b,0.0
19,46,1.0,a,1.0
19,46,1.0,s,1.0
19,46,1.0,c,1.0
19,46,1.0,e,1.0
18,46,1.0,b,0.0
18,46,1.0,a,1.0
18,46,1.0,s,1.0
18,46,1.0,c,1.0
18,46,1.0,e,1.0
17,46,1.0,b,0.0
17,46,1.0,a,1.0
17,46,1.0,s,1.0
17,46,1.0,c,1.0
17,46,1.0,e,1.0
16,46,1.0,b,0.0
16,46,1.0,a,1.0
16,46,1.0,s,1.0
16,46,1.0,c,1.0
16,46,1.0,e,1.0
15,46,1.0,b,0.0
15,46,1.0,a,1.0
15,46,1.0,s,0.990234375
15,46,1.0,c,1.0
15,46,1.0,e,1.0
14,46,1.0,b,0.0
14,46,1.0,a,0.990234375
14,46,1.0,s,0.9892578125
14,46,1.0,c,0.9911497690340693
14,46,1.0,e,0.9900968037434081
13,46,1.0,b,0.0
13,46,1.0,a,0.9990234375
13,46,1.0,s,0.9423828125
13,46,1.0,c,0.9976759959844917
13,46,1.0,e,0.9990096803743408
12,46,1.0,b,0.0
12,46,1.0,a,0.943359375
12,46,1.0,s,0.796875
12,46,1.0,c,0.9317541651679001
12,46,1.0,e,0.9445421009630859
11,46,1.0,b,0.0
11,46,1.0,a,0.845703125
11,46,1.0,s,0.845703125
11,46,1.0,c,0.8950106403815512
11,46,1.0,e,0.8455101383971677
10,46,1.0,b,0.0
10,46,1.0,a,1.0
10,46,1.0,s,1.0
10,46,1.0,c,1.0
10,46,1.0,e,1.0
9,46,1.0,b,0.0
9,46,1.0,a,1.0
9,46,1.0,s,0.99609375
9,46,1.0,c,1.0
9,46,1.0,e,1.0
8,46,1.0,b,0.0
8,46,1.0,a,0.99609375
8,46,1.0,s,0.986328125
8,46,1.0,c,0.9976759959844917
8,46,1.0,e,0.9960387214973633
7,46,1.0,b,0.0
7,46,1.0,a,0.990234375
7,46,1.0,s,0.9873046875
7,46,1.0,c,0.9875619824412024
7,46,1.0,e,0.9900968037434081
6,46,1.0,b,0.0
