generation,trial,p,propertyType,property
15,2,0.55,a,0.0
15,2,0.55,b,0.123046875
16,2,0.55,e,1.0
16,2,0.55,c,1.0
16,2,0.55,s,0.9873046875
16,2,0.55,a,0.0
16,2,0.55,b,0.125
17,2,0.55,e,0.998019998019998
17,2,0.55,c,1.0
17,2,0.55,s,0.998046875
17,2,0.55,a,0.0
17,2,0.55,b,0.125
18,2,0.55,e,0.999009999009999
18,2,0.55,c,1.0
18,2,0.55,s,0.9970703125
18,2,0.55,a,0.0
18,2,0.55,b,0.125
19,2,0.55,e,0.996039996039996
19,2,0.55,c,0.9958097151984237
19,2,0.55,s,0.9951171875
19,2,0.55,a,0.0
19,2,0.55,b,0.125
20,2,0.55,e,0.9762399762399763
20,2,0.55,c,0.9782259279771623
20,2,0.55,s,0.97265625
20,2,0.55,a,0.0
20,2,0.55,b,0.1181640625
1,3,0.55,e,-0.0098010098010098
1,3,0.55,c,-0.02272727272727275
1,3,0.55,s,1.0
1,3,0.55,a,0.5244140625
1,3,0.55,b,0.4755859375
2,3,0.55,e,0.7406197406197407
2,3,0.55,c,0.7572537348734167
2,3,0.55,s,0.2734375
2,3,0.55,a,0.5126953125
2,3,0.55,b,0.0
3,3,0.55,e,0.799029799029799
3,3,0.55,c,0.8850803884006294
3,3,0.55,s,0.7158203125
3,3,0.55,a,0.701171875
3,3,0.55,b,0.0
4,3,0.55,e,0.9891099891099892
4,3,0.55,c,0.9911749117356771
4,3,0.55,s,0.6943359375
4,3,0.55,a,0.9892578125
4,3,0.55,b,0.0
5,3,0.55,e,1.0
5,3,0.55,c,1.0
5,3,0.55,s,0.9892578125
5,3,0.55,a,1.0
5,3,0.55,b,0.0
6,3,0.55,e,1.0
6,3,0.55,c,1.0
6,3,0.55,s,1.0
6,3,0.55,a,1.0
6,3,0.55,b,0.0
7,3,0.55,e,1.0
7,3,0.55,c,1.0
7,3,0.55,s,1.0
7,3,0.55,a,1.0
7,3,0.55,b,0.0
8,3,0.55,e,1.0
8,3,0.55,c,1.0
8,3,0.55,s,1.0
8,3,0.55,a,1.0
8,3,0.55,b,0.0
9,3,0.55,e,1.0
9,3,0.55,c,1.0
9,3,0.55,s,1.0
9,3,0.55,a,1.0
9,3,0.55,b,0.0
10,3,0.55,e,0.998019998019998
10,3,0.55,c,1.0
10,3,0.55,s,0.998046875
10,3,0.55,a,0.998046875
10,3,0.55,b,0.0
11,3,0.55,e,1.0
11,3,0.55,c,1.0
11,3,0.55,s,0.998046875
11,3,0.55,a,1.0
11,3,0.55,b,0.0
12,3,0.55,e,1.0
12,3,0.55,c,1.0
12,3,0.55,s,1.0
12,3,0.55,a,1.0
12,3,0.55,b,0.0
13,3,0.55,e,1.0
13,3,0.55,c,1.0
13,3,0.55,s,1.0
13,3,0.55,a,1.0
13,3,0.55,b,0.0
14,3,0.55,e,0.998019998019998
14,3,0.55,c,0.9976825982686267
14,3,0.55,s,0.998046875
14,3,0.55,a,0.998046875
14,3,0.55,b,0.0
15,3,0.55,e,1.0
15,3,0.55,c,1.0
15,3,0.55,s,0.998046875
15,3,0.55,a,1.0
15,3,0.55,b,0.0
16,3,0.55,e,0.996039996039996
16,3,0.55,c,0.9925097258700861
16,3,0.55,s,0.99609375
16,3,0.55,a,0.99609375
16,3,0.55,b,0.0
17,3,0.55,e,0.998019998019998
17,3,0.55,c,0.9958097151984237
17,3,0.55,s,0.994140625
17,3,0.55,a,0.998046875
17,3,0.55,b,0.0
18,3,0.55,e,0.994059994059994
18,3,0.55,c,0.9886785816082775
18,3,0.55,s,0.9921875
18,3,0.55,a,0.994140625
18,3,0.55,b,0.0
19,3,0.55,e,0.999009999009999
19,3,0.55,c,1.0
19,3,0.55,s,0.9931640625
19,3,0.55,a,0.9990234375
19,3,0.55,b,0.0
20,3,0.55,e,1.0
20,3,0.55,c,1.0
20,3,0.55,s,0.9990234375
20,3,0.55,a,1.0
20,3,0.55,b,0.0
1,4,0.55,e,-0.005841005841005839
1,4,0.55,c,0.09090909090909087
1,4,0.55,s,1.0
1,4,0.55,a,0.544921875
1,4,0.55,b,0.455078125
2,4,0.55,e,0.4455994455994456
2,4,0.55,c,0.6058398128981529
2,4,0.55,s,0.03125
2,4,0.55,a,0.021484375
2,4,0.55,b,0.0498046875
3,4,0.55,e,0.5634095634095634
3,4,0.55,c,0.7653455504446635
3,4,0.55,s,0.2509765625
3,4,0.55,a,0.0
3,4,0.55,b,0.017578125
4,4,0.55,e,0.9465399465399466
4,4,0.55,c,0.9301941434321125
4,4,0.55,s,0.4384765625
4,4,0.55,a,0.0
4,4,0.55,b,0.0
5,4,0.55,e,1.0
5,4,0.55,c,1.0
5,4,0.55,s,0.947265625
5,4,0.55,a,0.0
5,4,0.55,b,0.0
6,4,0.55,e,1.0
6,4,0.55,c,1.0
6,4,0.55,s,1.0
6,4,0.55,a,0.0
6,4,0.55,b,0.0
7,4,0.55,e,1.0
7,4,0.55,c,1.0
7,4,0.55,s,1.0
7,4,0.55,a,0.0
