generation,trial,p,propertyType,property
20,50,1.0,b,0.0
20,50,1.0,a,1.0
20,50,1.0,s,1.0
19,50,1.0,b,0.0
19,50,1.0,a,1.0
19,50,1.0,s,1.0
18,50,1.0,b,0.0
18,50,1.0,a,1.0
18,50,1.0,s,1.0
17,50,1.0,b,0.0
17,50,1.0,a,1.0
17,50,1.0,s,1.0
16,50,1.0,b,0.0
16,50,1.0,a,1.0
16,50,1.0,s,1.0
15,50,1.0,b,0.0
15,50,1.0,a,1.0
15,50,1.0,s,1.0
14,50,1.0,b,0.0
14,50,1.0,a,1.0
14,50,1.0,s,1.0
13,50,1.0,b,0.0
13,50,1.0,a,1.0
13,50,1.0,s,1.0
12,50,1.0,b,0.0
12,50,1.0,a,1.0
12,50,1.0,s,1.0
11,50,1.0,b,0.0
11,50,1.0,a,1.0
11,50,1.0,s,1.0
10,50,1.0,b,0.0
10,50,1.0,a,1.0
10,50,1.0,s,1.0
9,50,1.0,b,0.0
9,50,1.0,a,1.0
9,50,1.0,s,1.0
8,50,1.0,b,0.0
8,50,1.0,a,1.0
8,50,1.0,s,1.0
7,50,1.0,b,0.0
7,50,1.0,a,1.0
7,50,1.0,s,1.0
6,50,1.0,b,0.0
6,50,1.0,a,1.0
6,50,1.0,s,1.0
5,50,1.0,b,0.0
5,50,1.0,a,1.0
5,50,1.0,s,1.0
4,50,1.0,b,0.0
4,50,1.0,a,1.0
4,50,1.0,s,1.0
3,50,1.0,b,0.0
3,50,1.0,a,1.0
3,50,1.0,s,1.0
2,50,1.0,b,0.0
2,50,1.0,a,1.0
2,50,1.0,s,1.0
1,50,1.0,b,0.0
1,50,1.0,a,1.0
1,50,1.0,s,1.0
20,49,1.0,b,0.0
20,49,1.0,a,1.0
20,49,1.0,s,1.0
19,49,1.0,b,0.0
19,49,1.0,a,1.0
19,49,1.0,s,1.0
18,49,1.0,b,0.0
18,49,1.0,a,1.0
18,49,1.0,s,1.0
17,49,1.0,b,0.0
17,49,1.0,a,1.0
17,49,1.0,s,1.0
16,49,1.0,b,0.0
16,49,1.0,a,1.0
16,49,1.0,s,1.0
15,49,1.0,b,0.0
15,49,1.0,a,1.0
15,49,1.0,s,1.0
14,49,1.0,b,0.0
14,49,1.0,a,1.0
14,49,1.0,s,1.0
13,49,1.0,b,0.0
13,49,1.0,a,1.0
13,49,1.0,s,1.0
12,49,1.0,b,0.0
12,49,1.0,a,1.0
12,49,1.0,s,1.0
11,49,1.0,b,0.0
11,49,1.0,a,1.0
11,49,1.0,s,1.0
10,49,1.0,b,0.0
10,49,1.0,a,1.0
